About|Introduction	Etymological Dictionary of Han/Chinese Characters<br><br>By Lawrence J. Howell<br><br>Research Collaborator<br><br>Hikaru Morimoto<br><br>Preface - Glyph Interpretations and Character Meanings<br>I The Types of Han/Chinese Characters<br>II Abbreviated Forms<br>III Borrowed Meanings (Sound Loans)<br>IV Factors Complicating Interpretations of Han/Chinese Characters<br>V Differences in Character Meanings in Chinese and Japanese<br><br><br>Preface - Glyph Interpretations and Character Meanings<br><br>EDHCC contains approximately 6000 entries explaining the connections between glyph and original meanings in Old Chinese, a subject of interest to students of both Chinese (Mandarin, Yue, Wu, Gan, Hakka etc.) and Japanese.<br>The meanings attached to the characters in the modern languages are a mishmash, marked by cases such as those in which<br>・The original sense of a character remains, and is the only meaning<br>・The original sense has disappeared and been replaced with acquired meanings<br>・The original sense and acquired meanings coexist<br>・The original sense is retained in Chinese but has dropped in Japanese<br>・The original sense is retained in Japanese but has dropped in Chinese<br>・The Chinese and Japanese meanings fully coincide<br>・The Chinese and Japanese meanings partially coincide<br>・The Chinese and Japanese meanings do not coincide<br><br>EDHCC accounts for the meanings borne by the characters in modern Japanese. Treatment of the meanings in modern Mandarin etc. will be presented elsewhere, and in a different format.<br><br>Section Notes<br>・The Han/Chinese characters were also used in Korean and Vietnamese, but they are excluded from consideration here because use of the characters has been either greatly de-emphasized (in Korea) or largely relegated to history (in Vietnam). Note that the meanings borne by the characters in<br>Korean and Vietnamese followed Chinese usage closely.<br>・Acquired meanings are of three types: Associated, extended and borrowed. Associated and extended meanings are illustrated by 彪. This originally indicated a tiger-stripe pattern, which is still a meaning in Chinese and Japanese. In Chinese, but not Japanese, 彪 also means "tiger," "tiger cub" and "tiger-like," meanings arising by association with the animal producing the pattern originally indicated. In Japanese, 彪 also means "pattern" (in general), which arises by association with the specific type of pattern originally indicated. Further, Japanese also has the meanings "speckled" and "mottled," which are by extension from "pattern" (in general), being other types of patterns.<br><br>Borrowed meanings are discussed in Section III.<br><br>・Among the traditional forms of the Han/Chinese characters used in Chinese and Japanese, a small number exhibit minor graphic distinctions. The EDHCC forms are the Japanese ones.<br><br>I The Types of Han/Chinese Characters<br>The traditional 六書 classification system identifies four types of characters. (Two other categories concern usage rather than composition.) The four types are:<br>・Pictographs (Chinese: 象形字; Japanese 象形文字)<br>・Ideographs (Chinese: 指事字; Japanese: 指示文字)<br>・Semantic compounds (Chinese: 會意字; Japanese: 会意文字)<br>・Phonetic compounds (Chinese: 形聲字; Japanese: 形声文字).<br>However, the corpus of characters is more accurately reflected by the following classification scheme.<br>1) Single-element characters<br>2) Dual-element characters<br>3) Irregular characters<br><br>Single-element characters are nearly all depictions of objects. A handful (ex: 上 下 帝) are depictions of abstract concepts. Approximately 5% of the EDHCC corpus consists of the single- element type.<br><br>Dual-element characters are comprised of a phonosemantic element and a semantic element (for shorthand, the phonosemantic and the semantic). Both elements bear on the character's meaning, with the phonosemantic also suggesting the character's pronunciation. For EDHCC classificationpurposes, this category also includes characters that appear to be irregular but which analysis reveals originated as regular dual-element characters (see the example of 設 below). Regular dual-element characters, in combination with irregular characters that originated as such, account for<br>approximately 94% of the EDHCC corpus. <br><br>Truly irregular characters have multiple elements and do not follow the normative phonosemantic + semantic pattern of dual-element characters. Fewer than 1% of the EDHCC corpus consists of this type.<br><br>Section Notes<br>・ Any given element may function as a phonosemantic or a semantic. There are over one hundred characters in common use in which 土 is the semantic, but in characters such as 里 塞 吐 社 and 肚, 土 is the phonosemantic.<br>・ Nearly all characters listed in the Appendix (Made-in-Japan Characters) are of semantic + semantic formation. However, while these glyphs are inspired by Han/Chinese characters, they are not Han/Chinese characters per se.<br>・The (truly) irregular characters appear to have been devised as substitutes for regular dual-element characters, in the manner that 体 (7 strokes) came to replace 體 (23 strokes). The upside of character substitution is that the amount of labor required to express a term in writing is reduced. The drawback is that the pronunciations of substitute characters are anomalous. For example, the Old Chinese pronunciation of 位 is unlike 立, that of 休 is unlike 木, and neither is like 亻/人. <br><br>Aside from the formation pattern 亻/人 + (Element 2), substitute characters were also created by doubling (棗 弱 竝 兓 戔 芻 多 臸), tripling (畾 磊 惢 品 晶 劦) or even quadrupling (嚚 器) elements. In most cases it is not possible to identify the characters that were replaced, but 淼, which triples 水 to create a variant form of 渺, is suggestive of one of the processes at work.<br><br>The limited number of irregular characters in the corpus is likely the result of cost/benefit analysis. Although the pronunciations of 400-500 single-element characters can be memorized in a matter of months, when thousands of compound characters with anomalous pronunciations are added to the mix, the memorization period cannot help but extend into years (the very situation in Japanese). Another consideration is the profound correlation between sounds and meanings in Old Chinese; the ancient literati were no doubt wary of changes weakening the correlation between the two. Ultimately, given a choice of conveying terms with fewer strokes, or of retaining the intuitiveness of the pronunciations of the thousands of dual-element characters, the ancient Han chose the latter, though a small percentage of irregular characters remained in the corpus.<br><br>For Further Reading<br>・ The article "The Phantom Category of Chinese Characters" details the various processes according to which the dual-element characters that acquired graphic irregularities came into existence.<br>・ For the correlation between sounds and meanings in Old Chinese, see the articles "Kanji Etymology and the ABC Etymological Dictionary of Old Chinese" and "Iconicity of Chinese Characters."<br><br><br>II Abbreviated Forms<br><br>It is common for abbreviated forms to appear in dual-element characters. Sometimes the abbreviation is evident even in the modern versions of the characters, as when the lower four strokes of 鳥 disappear in 梟 島 and 裊 or the bottom portion of 高 drops in 亭 臺 and 豪. This phenomenon may also be discerned with 金 in 釜, 在 in 存, 頁 in 戛, 弟 in 第, 壹 in 壼, 監 in 臨 and so on.<br><br>In some cases the abbreviation is only revealed by inspecting historical forms of the characters, which indicate the presence of 侖 in 典, 鼎 in 貞, 丞 in 承, 史 in 唐 , 艸 in 生, and both 昜 and 曰 in 昌, among other examples.<br><br>The most frequent use of abbreviated forms is illustrated by the characters 桴 艀 and 蜉. All three are written with the element 孚, which in derivative characters typically lends the influence "envelop/enclose," as in 俘 浮 莩 郛 殍 and 孵. In 桴 艀 and 蜉, however, the 孚 element lends the influence "float," which is via 浮. In other words, with respect to 桴 艀 and 蜉, 孚 functions as an abbreviated form of 浮.<br><br>Many other examples of this type of abbreviation may be offered. Here are a dozen: <br><br><table><br><tr><th>Character</th><th>Apparent Element</th><th>Actual Element Abbreviated</th></tr><br><tr><td>襤</td><td>監</td><td>濫</td></tr><br><tr><td>賚</td><td>來</td><td>勑</td></tr><br><tr><td>箠</td><td>垂</td><td>捶</td></tr><br><tr><td>癜</td><td>殿</td><td>澱</td></tr><br><tr><td>犢</td><td>��</td><td>贖</td></tr><br><tr><td>裋</td><td>豆</td><td>豎</td></tr><br><tr><td>垤</td><td>至</td><td>室</td></tr><br><tr><td>顫</td><td>亶</td><td>邅</td></tr><br><tr><td>忒</td><td>弋</td><td>代</td></tr><br><tr><td>芷</td><td>止</td><td>沚</td></tr><br><tr><td>虘</td><td>且</td><td>狙</td></tr><br><tr><td>魦 </td><td>少</td><td>沙</td></tr><br></table><br><br>A handful of independent characters were devised as abbreviated forms of entire characters, three examples being 痒 (originating in 癢), 隻 (originating in 雙), and 飧 (originating in 餐).<br><br><br>III Borrowed meanings (Sound loans)<br><br>Many characters have acquired meanings they did not originally bear, hence the designation "borrowed meanings" (假借・仮借). As suggested by the alternate designation "sound loans," the practice was for the term conveyed by the character acquiring the borrowed meaning to be a homonym of the term conveyed by the character from which the meaning was borrowed.<br><br>The most common type of borrowing involves characters sharing an identical element. The four- stroke character 屯 originally indicated a swelling bud, but came to bear the meanings "camp" or"barracks," borrowed from the thirteen-stroke 頓. Likewise, permitting 御 to convey the meaning "defend" (borrowed from 禦) reduces the stroke count by five.<br><br>Note that although this type of borrowing most often resulted in characters conveying meanings belonging to characters written with a greater number of strokes, the reverse is sometimes the case. Compare 騙 vis-à-vis 諞 and 羞 vis-à-vis 忸.<br><br>Borrowing was also encouraged by cultural advances. The need for written expressions of abstractions such as the cardinal points and the four seasons arose long after the invention of the earliest set of characters. Given a choice of creating new characters or adapting existing ones to the purpose, the Han chose the latter method (originally, 北 南 東 and 西 had nothing to do with directions, nor 春 夏 秋 and 冬 with the seasons).<br><br><br>IV Factors Complicating Interpretations of Han/Chinese Characters<br><br>Seldom can meaning of a dual-element character be readily intuited from its constituent elements. As we have seen, two complicating factors are the use of abbreviated forms and the accretion of borrowed meanings. Abbreviated forms misdirect our search for conceptual relations, while borrowed meanings make nonsense of the semantic chain linking a term's original sense and its acquired meaning(s).<br><br>A third complicating factor is that the conceptual or semantic influence exerted by a given phonosemantic is not necessarily the same in all its derivative characters. Here are some examples of how this tendency manifests itself.<br><br><table><br><tr><th>Character</th><th>Original Sense</th><th>Influence One</th><th>Influence Two</th></tr><br><tr><td>古</td><td>expectorate old, dried out (= hard) food</td><td>old 估 姑 詁</td><td>hard; dried out 苦 固 枯</td></tr><br><tr><td>干</td><td>thick bar pressed against a combatant</td><td>thick bar 肝 軒 杆</td><td>press against 刊 汗 旱</td></tr><br><tr><td>義</td><td>use a bladed weapon in a ceremonial sacrifice</td><td>blade-like 嶬 礒 蟻 </td><td>ceremony 儀 檥 議</td></tr><br><tr><td>果</td><td> round fruit</td><td>round 彙 踝 裹 </td><td>fruit 菓 祼 夥</td></tr><br><tr><td>申</td><td> bolt of lightning stretching from sky to earth</td><td>bolt of lightning 坤 神 電</td><td>stretch 伸 抻 紳</td></tr><br></table> <br><br><br>Some phonosemantics exert several distinct influences in derivative characters.<br><br><table><br><th>Character</th><th>Original Sense</th><th>Influence One</th><th>Influence Two</th><th>Influence Three</th><th></tr><br><tr><td>氐 </td><td>press the low point or foundation of an object</td><td> press 抵 牴 觝 </td><td>low 坻 彽 祗 </td><td>foundation 底 柢 砥</td></tr><br><tr><td>壽</td><td>aged person following a long, curved ridge</td><td>ridge 壔 疇</td><td> long and curved 幬 濤 鑄</td><td> long span 儔 禱 躊</td></tr><br><tr><td>單 simple weapon used with a fanning motion </td><td>simple → single 禪/禅 襌 觶</td><td>weapon 彈/弾 戰/戦 樿</td><td>fanning motion 憚 蟬 驒</td></tr><br><tr><td>襄 insert seized goods in soft/supple sacks</td><td> insert 曩 鑲</td><td> supple/soft 壤/壌 孃/嬢 穰</td><td>seize; sack 攘 囊</td></tr><br></table><br><br>A fourth complicating factor is of course changes in the forms of the characters. For example, it makes no sense to interpret 設 as 言 words + 殳 action indicator, as the 言 element was originally a chisel and 殳 originally a hand + a bar. 設 is an example of a character that appears to be irregular but originated as a regular dual-element character.<br><br>V Differences in Character Meanings in Chinese and Japanese<br><br>There is a high degree of correspondence in the principal meanings the characters convey in Japanese and in Chinese. Here are the main reasons for distinctions of meaning, where they exist.<br><br>1) Retention/loss of original significations<br><br>In Chinese, some characters retain original significations that disappeared before entering Japanese, or that entered Japanese but subsequently dropped. <br>Examples: 啀 屁 配 鐚 席 煜 翌 羂 渫 慶 禰 策 素 裊 駛 習 廟 剋 雪 托 蝕 升 襲 褪 樸 朴 嵐 鸛 匹 森 拶.<br><br>Conversely, in Japanese, some characters retain original significations that dropped in Chinese.<br>Examples: 庸 采 捨 躑 友 馭 圮 鐔 獷 捎 瀦 墅 翊 嵌 轗 紝 燠 檞 蓧 叨 凅 酤 盬 胳 騫 狗 彀 癃 院 邐 癆 餾 茲 楚 舊 鬮 仍 若 臬 异 首 竺 篤 枓 娉 聘 埠 笨 癈 寫 嘖 崢 鬆 面 緬 涅 榻 耦 殄 揣 尋 示 卬 慁 關 鬯 實 嘻 佰 賁 蕡 范 拚 辦 辯 佩 羞 彌.<br><br>2) The primary meanings in each language are distinct, but equally well follow from the original sense of the term. For instance, 葫 is 胡 (rough, covering substance) + 艹 grass/plant, indicating a type of vegetation with a rough surface. In Chinese, the reference is to "gourd" or "calabash," while in Japanese it is "garlic." As another example, 鯊 is 沙 sand + 魚 fish, indicating a creature that inhabits the sands of shallow waters. In Chinese, 鯊 indicates a "shark," while the meaning in Japanese is "goby."<br><br>Here are some other characters of this nature: 稻 貍 舍/舎 讜 啀 枷 鞚 薛 瀦 廞 箝 疢 貰 魛 綦 鱒 棧/桟 夋 彊 齷 窿 佹 溜 嘸 廡 茨 囁 楚 倖 圉 慷 枚 孥 茹 禰 嵾 俵 痞 笨 藩 寫/写 慫 葱 饌 諒 懣 嚀 廈 榎 姫 兢 潯 淀 缶 帚 懟 饎<br><br>3) Borrowed meanings are found in one of the languages, but not both. Characters with borrowed meanings in Chinese that are not meanings in Japanese: 塙 用 杜 撐 梲 麃 漂 槓 紅 詵 伊 柬 硝 銷 予 迤 佗 翊 柘 尻 薀 秩 淋 荏 恢 傾 迨 睽 巤 哄 丑 紐 雕 叨 央 凅 盬 夥 倡 拽 剗 漠 隮 呫 點 謠 翏 摎 扈 胡 渠 去 騫 幵 栞 繭 弄 樁 廱 杌 娩 撝 累 得 麻 靡 舞 隶 鎭 逗 湑 瀟 呆 丘 踽 冉 殷 碼 娉 別 覆 斥 津 搢 宿 縱 剉 疾 涼 莽 訥 奈 頤 克 規 趁 軫 揣端 彖 祇 抑 啓 休 怪 匯 設 討 準 撲 扑 乎 呼 咋 犯 沛<br><br>Characters with borrowed meanings in Japanese that are not meanings in Chinese: 庸 采 翅 篦 駄 哈 玦 緌 恔 懽 齟 乍 偖 昱 磔 鉉 閉 遺 贅 悴 兼 扠 俠 沓 墺 襖 斛 檞 葯 泱 嚮 嬰 梗 柄 莨 絣 苹 套 冲 誅 遉 嘽 鱓 碌 鰕 巴 臂 瘻 拈 卓 踞 衙 偃 巾 候 勾 姤 廓 凌 棙 槇 緝 輯 樣 臙 芝 舃 阡 樔 咲 撰 坐 砌 瘥 蠡 忍 入 侵 膳 羨 瑞 顓 托 丸 詘 循 諷 鬨 嘘 陌 噴 憑 弁 鞴 <br><br>4) Characters having borrowed meanings in both Chinese and Japanese, but with the borrowed meanings conveying something different in each language: 盪 朶 綏 允 杷 斂 所 擬 款 裛 苟 奐 和 儡 輒 仄 偲 聳 亮 蹣 詫 厥 食 聿 賁 馮 佩<br><br>5) Reinterpretation<br>In Chinese, a small number of characters have primary or secondary meanings that derive from reinterpretation. For example, 櫓 originally indicated a scull, or an oar, in the sense of a wooden object drawn up out of the water and moved from one side to the other to propel a vessel. However, 櫓 later acquired the additional meanings "watchtower" and "turret," a result of reinterpreting the "drawn upward" aspect of the character as indicating a high wooden construction. Another example of reinterpretation in Chinese involves 菹, which combines 苴 (plant matter) and 氵/水 water, originally indicating vegetation at water's edge. Later, 氵/水 was understood as brine in which vegetation is pickled, and thus the additional meaning "pickled vegetables." Other characters reinterpreted in Chinese include 爬 擘 膀 坏 輊 舳 艫 and 甬.<br><br>These additional significations are carried over in Japanese, so that the Chinese and Japanese meanings overlap. However, certain characters were also reinterpreted in Japanese to convey particular meanings that did not enter Chinese.<br><br>For example, 鐚 originally indicated soft metal, a meaning retained in Chinese. In Japanese, though, the character was reinterpreted as 惡/悪 bad + 金 money for the Japanese-only meaning "bad money." Another example is the meaning "woods/grove in the vicinity of a shrine" attached in Japanese to 杜, a result of taking 土 as an abbreviated form of 社 (神社 = Shinto shrine). <br><br>Other characters reinterpreted in Japanese and lacking equivalent meanings in Chinese include 鍔 係 箘 朸 瓴 籟 鐐 裱 偲 槊 錆 柿 鰍 錠 灘 柁 沖 and 鮎.
古	<font size='+3'>古</font><br><br>(5 strokes)<br>コ；ふる（い・びる・めかしい）<br><br>The relevant oracle bone form of 古 combines 口 mouth + an object filling it → expectorate <i>old</i>, <i>dried out</i>, <i>hard</i> food → <i>dry up</i>; <i>stale</i> → <i>used</i>; <i>old-fashioned</i>.
苦	<font size='+3'>苦</font><br><br>(8 strokes)<br>ク；くる（しい・しみ・しむ・しめる）；にが（い）<br><br>古 (phonosemantic element)  hard; dried out + 艸 grass/plant → <i>bitter</i> plant that makes the mouth go dry → <i>stubborn</i>; <i>pain</i>; <i>agony</i>; <i>suffering</i>; <i>hardship</i>; <i>trying</i> (experience); <i>exert oneself</i>; <i>worry</i>; <i>distress</i>; <i>pressure</i>; <i>torment</i>; <i>torture</i>; <i>be at a loss</i>; <i>embarrassment</i>.
固	<font size='+3'>固</font><br><br>(8 strokes)<br>コ；かた（い・まる・める）<br><br>古 (phonosemantic element)  hard; dried out + 囗 circular enclosure → harden about an object → <i>hard/harden</i>; <i>stiff/stiffen</i> → <i>resolute</i>; <i>stubborn</i>. Other extended meanings include <i>tight</i>, <i>firm</i>, <i>rigid</i>, <i>strict</i>, <i>solid</i>, <i>jell</i>, <i>fortify</i>, <i>collect</i>, <i>settle</i>, and <i>settle down</i>.
個　	<font size='+3'>個　</font><br><br>(10 strokes)<br>コ；カ<br><br>As per 固 (phonosemantic element)  (hardened/hard object) + 人 person → objects and people distinguished one by one (compare 箇 as well as 各) → <i>individual</i>; <i>item</i> → <i>counter</i>.
箇　	<font size='+3'>箇　</font><br><br>(14 strokes)<br>カ<br><br>As per 固 (phonosemantic element)  (hardened/hard object) + 竹 bamboo → hard pieces of bamboo → <i>counter</i> (from:  bamboo pieces used as counters) → <i>this</i>; <i>that</i> (from:  count this piece, count that piece).
个　	<font size='+3'>个　</font><br><br>(3 strokes)<br>カ；コ<br><br>The left-hand portion of the character 竹 bamboo, serving as an abbreviated form of 箇 <i>counter</i>.
故　	<font size='+3'>故　</font><br><br>(9 strokes)<br>コ；ゆえ<br><br>古 (phonosemantic element)  hard; dried out + 攵 action indicator → harden into fixed reality → <i>old</i>; <i>die</i>; <i>the late</i> (referring to a deceased person) → <i>old acquaintance</i>; <i>reason</i>; <i>cause</i>; <i>circumstances</i>; <i>past</i> (from:  by reason of past circumstances,  from:  stand firm upon established premises, for example, "because such and such is so, therefore X").
枯	<font size='+3'>枯</font><br><br>(9 strokes)<br>コ；か（らす・れる）<br><br>古 (phonosemantic element)  hard; dried out + 木 tree/wood → <i>dried out</i> tree/wood → <i>wither</i>; <i>die</i>; <i>be seasoned</i>.
居　	<font size='+3'>居　</font><br><br>(8 strokes)<br>キョ；い（る）<br><br>古 (phonosemantic element)  hard + 尸 buttocks → seat oneself on a hard surface → settle/set in place → <i>be present</i> → <i>exist</i> (compare 有, 在, and 存) → <i>stay</i>; <i>live</i>.
