Ｔ恤	/T shirt/
啊	/ah/oh/(an interjection to express doubt or to question, to show realization, to stress, for surprise, or as a modal particle showing affirmation, approval, or consent, etc.)/
啊哈	/aha/
啊呀	/oh/
啊哟喂	/oh my God/oh my/
阿	/A/flatter/(final particle)/(interjection)/
阿巴丹	/Abadan/
阿爸	/dad/father/
阿宝	/A Bao/
阿贝马马环礁	/Abemama Atoll/
阿贝歇	/Abechar/
阿比让	/Abidjan/
阿比西尼亚	/Abyssinia/
阿比西尼亚人	/Abyssinian/
阿宾登	/Abingdon/
阿波罗	/Apollo/
阿伯迪	/El Oued/
阿伯丁	/Aberdeen/
阿伯兹福德	/Abbotsford/
阿不都热西提	/Amudurexiti/
阿不来提	/Abdulaidi/
阿布哈兹	/Abkhazskiy/
阿布贾	/Abuja/
阿布扎比	/Abu Dhabi/
阿昌族	/Achang nationality/
阿德拉尔	/Adrar/
阿德莱德	/Adelaide/
阿德里安	/Adrian/
阿德莫尔	/Ardmore/
阿蒂加斯	/Artigas/
阿蒂乌岛	/Atiu Island/
阿蒂西亚	/Artesia/
阿多尼斯	/Adonis/
阿尔巴尼亚	/Albania/
阿尔巴尼亚人	/Albanian/
阿尔堡	/Aalborg/
阿尔卑斯山	/Alps/
阿尔卑斯山脉	/the Alps/
阿尔比	/Albi/
阿尔伯克尔基	/Albuquerque/
阿尔伯里	/Albury/
阿尔法	/alpha/
阿尔盖罗	/Alghero/
阿尔戈纳	/Algona/
阿尔及尔	/Algiers/
阿尔及利亚	/Algeria/
阿尔马	/Alma/
阿尔梅里亚	/Almeria/
阿尔派恩	/Alpine/
阿尔皮纳	/Alpena/
阿尔普迪埃	/Alpe-D'Huez/
阿尔普顿	/Appleton/
阿尔塔	/Alta/
阿尔塔米拉	/Altamira/
阿尔泰山	/Altai/Altai Mountains/
阿尔特斯	/Altus/
阿飞	/hooligan/
阿夫顿	/Afton/
阿伏伽德罗定律	/Avogadro's law/
阿福	/A Fu/
